ExperimentNumber,ColonyID,Size,MinorAxisLength,Eccentricity,MeanIntensity,Radius,Type
1,1,32,6.37104232681708,0.25595810640926,0.317831137309293,3.19153824321146,3
1,2,199,11.3790149786463,0.866426630856209,0.410004251493251,7.95887349758585,3
1,3,95,7.54889570742744,0.890660685006566,0.412555660997153,5.49903984232339,3
1,4,20,2.30940107675851,0.979795897113271,0.521359223300971,2.52313252202016,3
1,5,88,9.6421392069648,0.57117904638738,0.401872399445215,5.29256742840123,3
1,6,77,9.55232058996042,0.397333008197004,0.356755588378335,4.95074350336915,3
1,7,172,9.39893372216784,0.916966734924858,0.403694803728672,7.39927702033192,3
1,8,114,9.81572197684346,0.754763197585058,0.364746818502567,6.02389633252035,3
1,9,38,6.5104504385089,0.505213265756575,0.259690488356815,3.47789816915102,3
1,10,82,9.5776631426606,0.499051771549793,0.388180372788471,5.10895396995029,3
1,11,114,10.6945564256221,0.631478307558523,0.439289972504076,6.02389633252035,3
1,12,133,12.1824630196254,0.502551527411344,0.397588979383271,6.50655168752575,3
1,13,96,6.24286786852858,0.953201440522605,0.419859570041609,5.52790639154137,3
1,14,86,10.4832610151758,0.130290236863372,0.337015772667161,5.23207895695449,3
1,15,82,9.10577551932892,0.656253788626275,0.500828794695714,5.10895396995029,3
1,16,104,10.596711512393,0.542457758659752,0.499173156940147,5.75362739175159,3
1,17,170,6.94616283147142,0.978547217236481,0.403532675206005,7.35613218010963,3
1,18,165,14.4367126324372,0.169833131179631,0.417257176480478,7.24714641913115,3
1,19,12,2.3094010767585,0.942809041582063,0.433079056865465,1.95441004761168,3
1,20,14,3.72890894294322,0.652071200401997,0.298989498712106,2.11100412282238,3
1,21,6,2.3094010767585,0.74535599249993,0.254507628294036,1.38197659788534,3
1,22,78,7.72305979789473,0.81330319722111,0.432269995376791,4.98278748516688,3
1,23,112,10.5928223773364,0.626489774708728,0.410961957598573,5.97082132144185,3
1,24,158,9.66610830329592,0.889806277030715,0.368932038834952,7.09175309899033,3
1,25,135,12.4481431018582,0.450551442647821,0.404561565726614,6.55529058355247,3
1,26,47,5.93163309448743,0.8177437291759,0.378994894797415,3.86788891394752,3
1,27,50,7.67680489092522,0.420328094576457,0.247212205270458,3.98942280401433,3
1,28,148,11.7614142687347,0.715125734529653,0.361706713648461,6.8636625175777,3
1,29,136,12.684535618633,0.392065660631861,0.380660031002692,6.57952464247954,3
1,30,153,13.3021682122537,0.432327544870783,0.376664581690282,6.97863973752192,3
1,31,91,7.04544926670475,0.907945844927197,0.396564600448096,5.38202560777306,3
1,32,38,3.35578771269407,0.974952386802503,0.34710562814804,3.47789816915102,3
1,33,174,9.67660586429088,0.909820026179576,0.378863966075215,7.44217173921562,3
1,34,80,9.74337381677073,0.394307984816879,0.370492371705964,5.04626504404032,3
1,35,31,6.27776524370588,0.25309055459395,0.274394881660776,3.14127465715711,3
1,36,131,7.30474803639641,0.949063973926106,0.393336227250109,6.45744493511765,3
1,37,90,5.46005356394566,0.96819173226771,0.473801818462012,5.35237234845831,3
1,38,34,6.2434279171672,0.48149689315132,0.482459003018683,3.28976232123977,3
1,39,71,8.42807179462764,0.633660920286676,0.369361801879237,4.75394593143939,3
1,40,84,8.57931408919588,0.733804455832581,0.488326398520574,5.17088294582641,3
1,41,152,10.4245347590323,0.831030819547187,0.474113073947003,6.95579633830205,3
